、 ,","
。 ,.
何,what
あ,Ah
あなた,you
言 ,Saying
行 ,Row
人 ,Man 
知 ,Knowledge
）,)
（ ,(
事 ,Thing
彼女 ,She 
お前 ,You
話 ,Story 
来 ,Come
分か ,Divided
者 ,Person
聞 ,Listen
死 ,death 
時 ,Time 
ああ ,Oh 
殺 ,Killing
前 ,Before 
中 ,During 
達 ,Reaches
必要 ,necessary 
あの ,That
気 ,Care
大丈夫 ,All right 
」 ,""""
「 ,""""
自分 ,myself 
持 ,Equity
本当 ,For real 
時間 ,Time
我々 ,we 
一,one
的 ,Target
無 ,Nothing 
ありがとう ,Thank you 
家 ,House 
会 ,Meeting
日 ,Day 
年 ,Year 
仕事 ,jobs 
手 ,hand 
一緒 ,together 
後 ,Later
出来 ,Can
他,other
入 ,Input
電話 ,Phone
目 ,Eye 
様 ,Mr 
分 ,Minute
車 ,car 
所 ,Place
あんた ,Anta
度 ,Every time 
同じ ,the same 
場所 ,place 
問題 ,Problem
子供 ,Children
愛 ,Love 
金 ,Money 
名前 ,given names 
子 ,Child 
信 ,Trust
さあ ,here we go 
少し ,a little 
使 ,Use
全て ,All
世界 ,World
教え ,Teachings
通り ,Street
来る ,Come
上 ,Up 
入れ ,Get in 
人間 ,Human beings
行け ,go 
今日 ,Today
物 ,Stuff 
女 ,woman 
呼 ,Call
生き ,Live
あれ ,that 
じゃあ ,Well then
止め ,Stop
心配 ,Worry
母 ,Mother
連れ ,Take
関係 ,Relation
外 ,Outside
家族 ,Family
起き ,Happened
意味 ,Meaning
神 ,God
警察 ,Police
力 ,Power 
最後 ,last 
作 ,Work
次 ,Next 
息子 ,Son
取 ,Preparative
全部 ,Whole
間 ,while 
書 ,book 
捜査 ,Investigation
起こ ,Oko
回 ,Times
別 ,Different
情報 ,Information
理由 ,Reason 
数 ,number 
一人 ,One person 
部屋 ,Room
以上 ,that's all 
人生 ,Life
急 ,Sudden 
食べ ,eat 
女性 ,Woman 
続け ,continue 
事件 ,Incident
始め ,start 
最初 ,the first 
連絡 ,Communication
まあ ,Oh dear 
調べ ,Examined
安全 ,Safety
下さ ,Please
楽し ,Fun
殺人 ,Murder
下 ,Below
万 ,Ten thousand 
友達 ,Friend
約束 ,Promise
二 ,Two
結婚 ,Marriage
無理 ,Unreasonable
感じ ,Feeling
得 ,Obtained
最高 ,Highest
送 ,Feed
計画 ,plan 
仲間 ,Friend 
先 ,Previous
可能 ,Possible 
あいつ ,that person 
あと ,after 